Queue Length,mem_ctrl1_read,mem_ctrl1_write,mem_ctrl2_read,mem_ctrl2_write
0,439,0,118,1
1,0,0,100,1
2,0,0,86,1
3,0,0,104,1
4,0,0,133,1
5,0,0,159,1
6,0,0,191,1
7,0,0,232,1
8,0,0,254,1
9,0,0,262,1
10,0,0,261,1
11,0,0,244,1
12,0,0,203,1
13,0,0,181,1
14,0,0,160,1
15,0,0,151,14
16,0,0,152,15
17,0,0,129,17
18,0,0,142,21
19,0,0,130,25
20,0,0,122,21
21,0,0,115,23
22,0,0,119,24
23,0,0,127,26
24,0,0,117,24
25,0,0,109,29
26,0,0,114,40
27,0,0,106,34
28,0,0,106,39
29,0,0,95,41
30,0,0,100,45
31,0,0,91,40
32,0,0,89,30
33,0,0,96,19
34,0,0,84,13
35,0,0,73,15
36,0,0,59,15
37,0,0,50,17
38,0,0,39,17
39,0,0,44,22
40,0,0,28,15
41,0,0,37,14
42,0,0,39,18
43,0,0,36,24
44,0,0,35,21
45,0,0,40,24
46,0,0,32,26
47,0,0,43,30
48,0,0,59,38
49,0,0,72,73
50,0,0,81,70
51,0,0,164,73
52,0,0,265,93
53,0,0,275,87
54,0,0,176,88
55,0,0,73,108
56,0,0,31,85
57,0,0,32,89
58,0,0,31,141
59,0,0,29,293
60,0,0,23,399
61,0,0,21,733
62,0,0,15,980
63,0,0,9,1546
