Queue Length,mem_ctrl1_read,mem_ctrl1_write,mem_ctrl2_read,mem_ctrl2_write
0,437,0,14,1
1,0,0,25,1
2,0,0,30,1
3,0,0,51,1
4,0,0,113,1
5,0,0,176,1
6,0,0,221,1
7,0,0,284,1
8,0,0,316,1
9,0,0,343,1
10,0,0,374,1
11,0,0,344,1
12,0,0,251,1
13,0,0,206,1
14,0,0,145,1
15,0,0,118,9
16,0,0,116,10
17,0,0,111,10
18,0,0,107,10
19,0,0,109,10
20,0,0,90,10
21,0,0,82,10
22,0,0,97,10
23,0,0,87,12
24,0,0,66,11
25,0,0,67,17
26,0,0,59,13
27,0,0,73,14
28,0,0,65,16
29,0,0,58,13
30,0,0,54,24
31,0,0,54,18
32,0,0,60,18
33,0,0,54,13
34,0,0,59,19
35,0,0,63,15
36,0,0,58,16
37,0,0,58,13
38,0,0,54,19
39,0,0,67,15
40,0,0,63,17
41,0,0,65,18
42,0,0,50,26
43,0,0,43,31
44,0,0,48,36
45,0,0,56,38
46,0,0,70,61
47,0,0,98,80
48,0,0,89,104
49,0,0,110,123
50,0,0,153,175
51,0,0,231,188
52,0,0,336,192
53,0,0,389,241
54,0,0,259,239
55,0,0,132,197
56,0,0,97,129
57,0,0,86,125
58,0,0,76,150
59,0,0,75,190
60,0,0,64,228
61,0,0,51,312
62,0,0,31,313
63,0,0,15,424
